id	survived	pclass	sex	age	sibsp	parch	fare	embarked
57	0	3	male	28.5	0	0	7.2292	C
571	1	1	female	53.0	2	0	51.4792	S
737	1	1	male	35.0	0	0	512.3292	C
721	0	3	male	17.0	1	0	7.0542	S
551	0	2	male	27.0	0	0	26.0	S
291	1	1	female	19.0	1	0	91.0792	C
739	0	3	male		0	0	7.8958	S
143	0	3	male	19.0	0	0	6.75	Q
292	0	2	male	36.0	0	0	12.875	C
348	1	3	male	3.0	1	1	15.9	S
237	1	2	female	8.0	0	2	26.25	S
137	0	1	male	37.0	1	0	53.1	S
199	0	2	female	24.0	0	0	13.0	S
759	1	1	female	33.0	0	0	86.5	S
662	0	1	male	47.0	0	0	25.5875	S
276	0	3	female	45.0	0	0	7.75	S
636	0	3	male	32.0	0	0	7.925	S
640	0	3	male	20.0	0	0	7.8542	S
705	0	2	male	39.0	0	0	26.0	S
184	1	3	female	4.0	0	2	22.025	S
470	0	3	male		0	0	7.25	S
707	1	1	male	42.0	0	0	26.2875	S
719	0	3	male	33.0	0	0	7.775	S
605	0	3	male	36.0	1	0	15.55	S
224	1	1	male	38.0	1	0	90.0	S
745	0	1	male	70.0	1	1	71.0	S
867	0	1	male	31.0	0	0	50.4958	S
203	0	3	male	45.5	0	0	7.225	C
455	1	3	male	29.0	0	0	7.8958	C
314	0	2	male	43.0	1	1	26.25	S
607	1	1	male	27.0	0	0	30.5	S
209	1	1	male	40.0	0	0	31.0	C
426	1	2	female	28.0	1	0	26.0	S
756	0	3	male	28.0	0	0	7.7958	S
73	0	3	male	26.0	1	0	14.4542	C
814	0	3	male	30.5	0	0	8.05	S
119	0	3	female	2.0	4	2	31.275	S
473	1	2	female	23.0	0	0	13.7917	C
449	1	1	male	52.0	0	0	30.5	S
83	0	1	male	28.0	0	0	47.1	S
556	1	1	female	48.0	1	0	39.6	C
84	1	2	female	17.0	0	0	10.5	S
433	0	3	male	17.0	0	0	7.125	S
459	0	3	male		0	0	7.75	Q
861	0	2	male	21.0	1	0	11.5	S
733	0	2	male	23.0	0	0	13.0	S
684	0	2	male	60.0	1	1	39.0	S
410	0	3	male		0	0	7.8958	S
660	1	1	male	50.0	2	0	133.65	S
478	0	3	male	22.0	0	0	7.5208	S
869	1	3	male	4.0	1	1	11.1333	S
226	1	2	male	19.0	0	0	10.5	S
842	1	1	female	30.0	0	0	31.0	C
448	1	3	female	5.0	2	1	19.2583	C
329	1	1	female	16.0	0	1	57.9792	C
541	0	3	female	9.0	4	2	31.275	S
325	1	1	female	36.0	0	0	135.6333	C
622	1	3	male	20.0	1	1	15.7417	C
610	0	3	female	39.0	1	5	31.275	S
405	0	2	male	34.0	1	0	21.0	S
461	0	3	male	34.0	0	0	8.05	S
699	0	3	male	42.0	0	0	7.65	S
381	1	3	female	1.0	0	2	15.7417	C
565	0	3	male	24.0	2	0	24.15	S
93	0	3	male	26.0	1	2	20.575	S
826	0	3	male		0	0	56.4958	S
540	1	1	female	36.0	0	2	71.0	S
835	1	1	female	39.0	1	1	83.1583	C
732	0	2	male		0	0	0.0	S
44	1	3	female	19.0	0	0	7.8792	Q
639	0	3	male		1	0	16.1	S
353	0	3	male	25.0	1	0	17.8	S
115	0	3	male	21.0	0	0	7.925	S
468	0	3	male		0	0	7.725	Q
297	0	1	female	2.0	1	2	151.55	S
349	0	3	male	42.0	0	0	8.6625	S
305	1	1	male	0.92	1	2	151.55	S
284	0	1	male		0	0	26.0	S
490	0	3	male		1	0	19.9667	S
281	0	3	male	28.0	0	0	7.8542	S
16	0	3	male	2.0	4	1	29.125	Q
773	0	3	male		0	0	7.225	C
767	0	3	female	30.5	0	0	7.75	Q
56	1	2	female	21.0	0	0	10.5	S
396	0	3	female	31.0	0	0	7.8542	S
714	0	2	male	52.0	0	0	13.0	S
871	1	1	female	47.0	1	1	52.5542	S
776	0	3	male		0	0	7.75	Q
874	1	2	female	28.0	1	0	24.0	C
340	1	2	male	2.0	1	1	26.0	S
828	1	3	male		0	0	7.75	Q
269	1	1	female	35.0	0	0	135.6333	S
195	1	1	female	58.0	0	0	146.5208	C
70	0	2	male	32.0	0	0	10.5	S
472	1	2	female	33.0	1	2	27.75	S
743	0	3	male	24.0	1	0	16.1	S
164	0	3	male	1.0	4	1	39.6875	S
789	0	1	male	46.0	0	0	79.2	C
24	0	3	female	8.0	3	1	21.075	S
330	1	3	female		2	0	23.25	Q
407	1	2	male	3.0	1	1	18.75	S
554	1	3	female	22.0	0	0	7.775	S
690	1	1	male	31.0	1	0	57.0	S
191	0	2	male	19.0	0	0	13.0	S
692	1	3	male		0	0	56.4958	S
377	0	1	male	27.0	0	2	211.5	C
153	0	3	male	40.5	0	2	14.5	S
376	1	3	female	22.0	0	0	7.25	S
555	0	1	male	62.0	0	0	26.55	S
621	1	1	male	42.0	1	0	52.5542	S
711	0	1	male		0	0	26.55	S
41	0	2	female	27.0	1	0	21.0	S
790	0	3	male		0	0	7.75	Q
225	0	3	male	22.0	0	0	9.35	S
829	1	1	female	62.0	0	0	80.0	
139	0	1	male	24.0	0	0	79.2	C
795	0	2	male	39.0	0	0	13.0	S
791	0	2	male	16.0	0	0	26.0	S
736	0	3	female	48.0	1	3	34.375	S
212	0	3	male	22.0	0	0	7.25	S
517	0	3	male		0	0	24.15	Q
629	0	3	male		0	0	7.7333	Q
798	0	3	male	30.0	0	0	7.2292	C
387	1	2	female	36.0	0	0	13.0	S
404	0	3	female	20.0	0	0	8.6625	S
469	1	3	female	0.75	2	1	19.2583	C
147	0	3	female	9.0	2	2	34.375	S
265	0	2	male	36.0	0	0	10.5	S
608	1	2	female	22.0	1	2	41.5792	C
13	0	3	male	39.0	1	5	31.275	S
802	1	1	male	11.0	1	2	120.0	S
131	0	3	male	20.0	0	0	7.05	S
809	1	1	female	33.0	1	0	53.1	S
539	1	1	female	22.0	0	2	49.5	C
677	1	3	female	18.0	0	0	9.8417	S
645	1	1	male	48.0	1	0	76.7292	C
274	1	3	female		0	0	7.75	Q
812	0	2	male	35.0	0	0	10.5	S
734	0	2	male	23.0	0	0	13.0	S
548	0	3	male	33.0	1	1	20.525	S
419	0	3	female	10.0	0	2	24.15	S
219	0	2	male	30.0	0	0	10.5	S
758	0	3	male	34.0	0	0	8.05	S
114	0	3	female	17.0	0	0	14.4583	C
373	0	1	male	22.0	0	0	135.6333	C
696	0	3	male	44.0	0	0	8.05	S
288	1	2	male	42.0	0	0	13.0	S
514	0	3	male	24.0	0	0	7.4958	S
